WarehouseID,WarehouseName,Location
WH001,Central Distribution Center,New York City
WH002,Northside Warehouse,Los Angeles
WH003,East Coast Storage,Chicago
WH004,West End Logistics,Houston
WH005,South Gateway Warehouse,Phoenix
WH006,Riverside Storage Facility,Philadelphia
WH007,Downtown Depot,San Antonio
WH008,Horizon Distribution Hub,San Diego
WH009,Urban Freight Center,Dallas
WH010,Maple Ridge Warehouse,San Jose
WH011,Oak Valley Distribution,Austin
WH012,Summit Logistics Park,Jacksonville
WH013,Granite Bay Warehouse,Fort Worth
WH014,Coastal Supply Depot,Columbus
WH015,Mountainview Storage,Charlotte
WH016,Redwood Distribution Center,San Francisco
WH017,Bridgeport Warehouse,Indianapolis
WH018,Prairie Storage Hub,Seattle
WH019,Silver Creek Depot,Denver
WH020,Timberline Freight Hub,Washington DC
WH021,Canyon Ridge Warehouse,Boston
WH022,Blue Ridge Distribution,El Paso
WH023,Valley Park Storage,Nashville
WH024,Lakefront Logistics Center,Detroit
WH025,Pinewood Warehouse,Oklahoma City
WH026,Riverbend Distribution Hub,Portland
WH027,Oakwood Supply Depot,Las Vegas
WH028,Golden Gate Logistics,Memphis
WH029,High Plains Storage,Louisville
WH030,Lakeshore Freight Center,Baltimore
WH031,Skyline Distribution Center,Milwaukee
WH032,Meadowbrook Warehouse,Albuquerque
WH033,Canyon Point Storage,Tucson
WH034,Maplewood Distribution Hub,Fresno
WH035,Crestview Logistics Park,Sacramento
WH036,Brookstone Warehouse,Kansas City
WH037,Hilltop Supply Depot,Mesa
WH038,Cascade Distribution Center,Atlanta
WH039,Spring Valley Warehouse,Omaha
WH040,Stonebridge Logistics Hub,Colorado Springs
WH041,Fairview Freight Center,Raleigh
WH042,Willow Creek Warehouse,Miami
WH043,Eagle Rock Distribution,Long Beach
WH044,Sunset Ridge Depot,Virginia Beach
WH045,Greenfield Storage Center,Oakland
WH046,Clearwater Logistics Hub,Minneapolis
WH047,Lakeside Warehouse,Tulsa
WH048,Pinehill Distribution Depot,Arlington
WH049,Horizon View Warehouse,New Orleans
WH050.,Seaside Freight Center,Wichita
